Date,Symbol,Open,High,Low,Close,Volume,Marketcap
2019-04-03,AAPL,193.25,196.5,193.15,195.35,19793141,3866590094.35
2019-04-04,AAPL,194.79,196.37,193.14,195.72,17091108,3345071657.76
2019-04-05,AAPL,196.45,197.1,195.93,196.97,15842943,3120584482.71
2019-04-08,AAPL,196.42,200.23,196.34,200.08,23231403,4648139112.24
2019-04-09,AAPL,200.32,202.85,199.23,199.5,32840959,6551771320.5
2019-04-10,AAPL,198.68,200.74,198.18,200.66,19861942,3985497281.72
2019-04-11,AAPL,200.85,201,198.4431,198.95,17931789,3567529421.55
2019-04-12,AAPL,199.2,200.14,196.21,198.88,24667735,4905919136.8
2019-04-15,AAPL,198.58,199.85,198.01,199.23,14551176,2899030794.48
2019-04-16,AAPL,199.46,201.37,198.56,199.25,24002891,4782576031.75
2019-04-17,AAPL,199.54,203.38,198.61,203.12,27366117,5558605685.04
2019-04-18,AAPL,203.12,204.15,202.52,203.86,21928367,4470316896.62
2019-04-22,AAPL,202.83,204.94,202.34,204.64,13720923,2807849682.72
2019-04-23,AAPL,204.43,207.75,203.9,207.51,19401417,4025988041.67
2019-04-24,AAPL,207.36,208.48,207.05,207.18,14914939,3090077062.02
2019-04-25,AAPL,206.83,207.76,205.12,205.24,15908807,3265123548.68
2019-04-26,AAPL,204.9,205,202.12,204.29,16315669,3333128020.01
2019-04-29,AAPL,204.4,205.97,203.86,204.61,19641066,4018758514.26
2019-04-30,AAPL,203.06,203.4,199.11,200.57,35362106,7092577600.42
2019-05-01,AAPL,209.88,215.31,209.23,210.52,57751414,12157827675.28
2019-05-02,AAPL,209.84,212.65,208.13,209.17,29014844,6069034919.48
2019-05-03,AAPL,210.74,211.84,210.23,211.78,17987793,3809454801.54
2019-05-06,AAPL,204.29,208.84,203.5,208.6,28949691,6038905542.6
2019-05-07,AAPL,205.88,207.4175,200.825,202.86,34328425,6963864295.5
2019-05-08,AAPL,201.9,205.34,201.75,202.9,22729670,4611850043
2019-05-09,AAPL,200.4,201.68,196.66,200.72,32427147,6508776945.84
2019-05-10,AAPL,197.419,198.85,192.77,197.3,36118438,7126167817.4
2019-05-13,AAPL,187.71,189.48,182.85,185.72,50491792,9377335610.24
2019-05-14,AAPL,186.41,189.7,185.41,188.65,31498214,5942138071.1
2019-05-15,AAPL,186.27,191.75,186.02,190.92,23655393,4516287631.56
2019-05-16,AAPL,189.91,192.4689,188.84,190.14,28660083,5449428181.62
2019-05-17,AAPL,186.93,190.9,186.76,188.98,29246990,5527096170.2
2019-05-20,AAPL,183.52,184.349,180.2839,183.09,33285709,6094280460.81
2019-05-21,AAPL,185.22,188,184.7,186.59,23901501,4459781071.59
2019-05-22,AAPL,184.66,185.71,182.55,182.79,26540561,4851349145.19
2019-05-23,AAPL,179.8,180.54,177.81,179.67,31272923,5618806075.41
2019-05-24,AAPL,180.2,182.14,178.62,179.06,21514327,3852355392.62
2019-05-28,AAPL,178.9,180.59,177.91,178.17,22515281,4011547615.77
2019-05-29,AAPL,176.42,179.35,176,177.35,26177083,4642505670.05
2019-05-30,AAPL,177.95,179.23,176.67,178.25,19579368,3490022346
2019-05-31,AAPL,176.22,177.985,174.99,175,22909538,4009169150
2019-06-03,AAPL,175.6,177.92,170.27,173.28,36721281,6363063571.68
2019-06-04,AAPL,175.44,179.83,174.52,179.67,27174311,4882408457.37
2019-06-05,AAPL,184.28,184.99,181.14,182.541,26260553,4793627605.173
2019-06-06,AAPL,183.08,185.47,182.1489,185.23,18504740,3427632990.2
2019-06-07,AAPL,186.51,191.92,185.77,190.14,26413228,5022211171.92
2019-06-10,AAPL,191.81,195.37,191.62,192.52,23763115,4574874899.8
2019-06-11,AAPL,194.82,196,193.6,194.81,22631965,4408933101.65
2019-06-12,AAPL,193.95,195.97,193.385,194.19,16299683,3165235441.77
2019-06-13,AAPL,194.7,196.79,193.6,194.74,35633462,6939260389.88
2019-06-14,AAPL,191.545,193.5863,190.3,192.745,31598181,6090391396.845
2019-06-17,AAPL,192.9,194.96,192.17,193.95,12831457,2488661085.15
2019-06-18,AAPL,196,200.29,195.21,198.5,23433567,4651563049.5
2019-06-19,AAPL,199.68,199.88,197.31,197.86,17581620,3478699333.2
2019-06-20,AAPL,200.37,200.61,198.03,199.3794,18470638,3682664722.0572
2019-06-21,AAPL,198.8,200.85,198.15,198.8,30026975,5969362630
2019-06-24,AAPL,198.54,200.16,198.17,198.55,14762379,2931070350.45
2019-06-25,AAPL,198.43,199.26,195.29,195.57,18361798,3591016834.86
2019-06-26,AAPL,197.83,200.99,197.35,199.8,22499633,4495426673.4
2019-06-27,AAPL,200.29,201.57,199.57,199.73,15460769,3087979392.37
2019-06-28,AAPL,199.24,199.4,197.05,197.92,18773228,3715597285.76
2019-07-01,AAPL,203.17,204.49,200.65,201.68,24084814,4857425287.52
2019-07-02,AAPL,201.41,203.1323,201.36,202.71,15693876,3181305603.96
2019-07-03,AAPL,203.27,204.44,202.6901,204.41,9285267,1898001427.47
2019-07-05,AAPL,203.35,205.08,202.9,204.25,14933941,3050257449.25
2019-07-08,AAPL,200.81,201.4,198.41,200.01,21987224,4397664672.24
2019-07-09,AAPL,199.2,201.51,198.81,201.22,17767726,3575221825.72
2019-07-10,AAPL,201.91,203.73,201.56,203.21,15615143,3173153209.03
2019-07-11,AAPL,203.31,204.39,201.72,201.74,16021915,3232261132.1
2019-07-12,AAPL,202.45,204,202.2,203.24,15272214,3103924773.36
2019-07-15,AAPL,204.09,205.87,204,205.2,14419116,2958802603.2
2019-07-16,AAPL,204.59,206.11,203.5,204.49,14501634,2965439136.66
2019-07-17,AAPL,204.05,205.0915,203.27,203.28,11652445,2368709019.6
2019-07-18,AAPL,204,205.88,203.7,205.66,15375748,3162176333.68
2019-07-19,AAPL,205.79,206.5,202.36,202.57,18834365,3815277318.05
2019-07-22,AAPL,203.65,207.23,203.61,207.22,18906200,3917742764
2019-07-23,AAPL,208.46,208.91,207.29,208.825,16418505,3428594306.625
2019-07-24,AAPL,207.67,209.15,207.17,208.67,13012280,2715272467.6
2019-07-25,AAPL,208.89,209.24,206.73,207.05,11866283,2456913895.15
2019-07-26,AAPL,207.48,209.73,207.14,207.75,15409845,3201395298.75
2019-07-29,AAPL,208.46,210.64,208.44,209.67,18828351,3947740354.17
2019-07-30,AAPL,208.76,210.16,207.31,208.884,24482953,5114097154.452
2019-07-31,AAPL,216.42,221.37,211.3,212.78,62976187,13400073069.86
2019-08-01,AAPL,213.9,218.03,206.7435,208.4595,51518842,10739592043.899
2019-08-02,AAPL,205.53,206.19,201.7,204.09,30361920,6196564252.8
2019-08-05,AAPL,197.99,198.649,192.58,193.22,44910342,8677576281.24
2019-08-06,AAPL,196.31,198.067,194.04,196.98,31922123,6288019788.54
2019-08-07,AAPL,195.41,199.56,193.82,199.14,29096670,5794310863.8
2019-08-08,AAPL,200.22,203.53,199.39,203.45,23184966,4716981332.7
2019-08-09,AAPL,202.3093,202.76,199.3,200.93,20564640,4132053115.2
2019-08-12,AAPL,199.62,202.0516,199.15,200.5,19539038,3917577119
2019-08-13,AAPL,201.05,212.14,200.83,208.98,43076897,9002209935.06
2019-08-14,AAPL,203.16,206.44,202.5869,202.75,30918861,6268799067.75
2019-08-15,AAPL,203.46,205.14,199.67,201.74,24575334,4957827881.16
2019-08-16,AAPL,204.28,207.16,203.84,206.44,25086579,5178873368.76
2019-08-19,AAPL,210.62,212.7307,210.025,210.34,21547293,4532257609.62
2019-08-20,AAPL,210.88,213.35,210.32,210.35,21011089,4419682571.15
2019-08-21,AAPL,212.99,213.65,211.6032,212.65,18800282,3997879967.3
2019-08-22,AAPL,213.19,214.435,210.75,212.45,19267504,4093381224.8
2019-08-23,AAPL,209.43,212.051,201,202.63,40593444,8225449557.72
2019-08-26,AAPL,205.86,207.19,205.0573,206.6,22978406,4747338679.6
2019-08-27,AAPL,207.81,208.55,203.53,204.14,19309254,3941791111.56
2019-08-28,AAPL,204.1,205.72,203.32,205.52,14081649,2894060502.48
2019-08-29,AAPL,208.5,209.32,206.655,209.1,18354476,3837920931.6
2019-08-30,AAPL,210.16,210.45,207.2,208.74,16839712,3515121482.88
2019-09-03,AAPL,206.43,206.98,204.22,205.695,17928464,3687795402.48
2019-09-04,AAPL,208.39,209.48,207.32,209.25,16915267,3539519619.75
2019-09-05,AAPL,212,213.97,211.51,213.27,20371927,4344720871.29
2019-09-06,AAPL,214.05,214.42,212.51,213.27,17147590,3657066519.3
2019-09-09,AAPL,214.84,216.44,211.07,214.15,23194004,4966995956.6
2019-09-10,AAPL,213.86,216.78,211.71,216.77,27664503,5996834315.31
2019-09-11,AAPL,218.07,223.64,217.73,223.587,39572875,8847980402.625
2019-09-12,AAPL,224.8,226.42,222.86,223.09,26816046,5982391702.14
2019-09-13,AAPL,220,220.79,217.02,218.8,35658287,7802033195.6
2019-09-16,AAPL,217.73,220.13,217.56,219.9,18614200,4093262580
2019-09-17,AAPL,219.96,220.82,219.12,220.65,15755170,3476378260.5
2019-09-18,AAPL,221.06,222.85,219.44,222.77,22597641,5034076485.57
2019-09-19,AAPL,222.01,223.76,220.37,220.95,19560095,4321802990.25
2019-09-20,AAPL,221.38,222.56,217.473,217.69,36711725,7991775415.25
2019-09-23,AAPL,218.95,219.84,217.65,218.68,16353130,3576102468.4
2019-09-24,AAPL,221.03,222.49,217.19,217.68,27025966,5883012278.88
2019-09-25,AAPL,218.55,221.5,217.1402,220.99,18945127,4186683615.73
2019-09-26,AAPL,220,220.94,218.83,219.89,16151246,3551497482.94
2019-09-27,AAPL,220.54,220.96,217.2814,218.85,22606388,4947408013.8
2019-09-30,AAPL,220.9,224.58,220.79,223.98,22189704,4970049901.92
2019-10-01,AAPL,225.07,228.22,224.2,224.58,32017308,7190447030.64
2019-10-02,AAPL,223.06,223.35,217.93,218.96,31067943,6802636799.28
2019-10-03,AAPL,218.43,220.96,215.132,220.81,25267290,5579270304.9
2019-10-04,AAPL,225.64,227.49,223.89,227.01,61420683,13943109247.83
2019-10-07,AAPL,226.27,229.93,225.84,227.06,56249522,12772016465.32
2019-10-08,AAPL,225.82,228.06,224.33,224.39,49356153,11075027171.67
2019-10-09,AAPL,227.03,227.79,225.64,227,33424472,7587355144
2019-10-10,AAPL,227.93,230.44,227.3,230.09,51957764,11954961918.76
2019-10-11,AAPL,232.95,237.64,232.3075,236.22,75801862,17905915841.64
2019-10-14,AAPL,234.9,238.1342,234.6701,235.89,43035391,10151618382.99
2019-10-15,AAPL,236.39,237.65,234.88,235.32,37286507,8774260827.24
2019-10-16,AAPL,233.37,235.24,233.2,234.39,32693993,7663145019.27
2019-10-17,AAPL,235.09,236.15,233.52,235.29,30936663,7279087437.27
2019-10-18,AAPL,234.59,237.58,234.29,236.28,45791251,10819556786.28
2019-10-21,AAPL,238.3659,240.99,238.32,240.53,17427391,4191810357.23
2019-10-22,AAPL,241.16,242.2,239.6218,239.97,19060536,4573956823.92
2019-10-23,AAPL,242.1,243.24,241.22,243.14,17199153,4181802060.42
2019-10-24,AAPL,244.51,244.8,241.805,243.6,15641517,3810273541.2
2019-10-25,AAPL,243.16,246.73,242.88,246.58,15414721,3800961904.18
2019-10-28,AAPL,247.42,249.25,246.72,249.04,22187260,5525515230.4
2019-10-29,AAPL,248.97,249.75,242.57,243.29,32725739,7961845041.31
2019-10-30,AAPL,244.76,245.3,241.21,243.29,25443913,6190249593.77
2019-10-31,AAPL,247.24,249.17,237.26,248.84,29688327,7387643290.68
2019-11-01,AAPL,249.54,255.93,249.16,255.84,33985331,8694807083.04
2019-11-04,AAPL,257.33,257.845,255.38,257.48,23618001,6081162897.48
2019-11-05,AAPL,257.05,258.19,256.32,257.15,17738372,4561422359.8
2019-11-06,AAPL,256.84,257.49,255.365,257.24,15328064,3942991183.36
2019-11-07,AAPL,258.74,260.35,258.11,259.5,22267200,5778338400
2019-11-08,AAPL,258.69,260.44,256.85,260.14,15896858,4135408640.12
2019-11-11,AAPL,258.3,262.47,258.28,262.2,19401290,5087018238
2019-11-12,AAPL,261.55,262.79,260.92,261.98,19425255,5089028304.9
2019-11-13,AAPL,261.13,264.78,261.07,264.47,24029891,6355185272.77
2019-11-14,AAPL,263.75,264.88,262.1,262.69,20368211,5350525347.59
2019-11-15,AAPL,263.68,265.78,263.01,265.75,23136341,6148482620.75
2019-11-18,AAPL,265.8,267.43,264.23,267.12,18045658,4820356164.96
2019-11-19,AAPL,267.9,268,265.3926,266.29,14685205,3910523239.45
2019-11-20,AAPL,265.54,266.083,260.4,263.22,22181038,5838492822.36
2019-11-21,AAPL,263.71,264.005,261.18,262.01,25411879,6658166416.79
2019-11-22,AAPL,262.59,263.18,260.84,261.84,14301792,3744781217.28
2019-11-25,AAPL,262.71,266.44,262.52,266.42,15137109,4032828579.78
2019-11-26,AAPL,266.94,267.16,262.5,264.1,14856696,3923653413.6
2019-11-27,AAPL,265.58,267.98,265.31,267.8999,14459464,3873688959.6536
2019-11-29,AAPL,266.6,268,265.9,267.18,8827719,2358589962.42
2019-12-02,AAPL,267.27,268.25,263.45,264.09,20260941,5350711908.69
2019-12-03,AAPL,258.31,259.53,256.29,259.52,25772086,6688371758.72
2019-12-04,AAPL,261.07,263.31,260.68,261.74,14623003,3827424805.22
2019-12-05,AAPL,263.79,265.89,262.73,265.58,15381351,4084979198.58
2019-12-06,AAPL,267.48,271,267.3,270.7,23057888,6241770281.6
2019-12-09,AAPL,270,270.8,264.91,266.92,27858494,7435989218.48
2019-12-10,AAPL,268.6,270.07,265.86,268.62,20404044,5480934299.28
2019-12-11,AAPL,268.81,271.1,268.5,270.74,17110774,4632570952.76
2019-12-12,AAPL,267.79,272.5599,267.321,271.46,30907462,8390139634.52
2019-12-13,AAPL,271.46,275.3,270.93,275.26,29835265,8212455043.9
2019-12-16,AAPL,276.99,280.79,276.98,279.86,26824132,7507001581.52
